Row,Gene_indx,Cluster,DE_Score
HMGB2,3800,1,10.7471836754827
PTTG1,4397,1,9.985547445097
UBE2C,12949,1,9.72450684618914
TUBA1B,9131,1,9.45070261362486
CKS2,7140,1,9.07671642363461
STMN1,266,1,8.2360465248295
CENPF,1368,1,8.19777296905379
NUSAP1,10462,1,8.19064726717579
TOP2A,11993,1,7.95039059005283
CCNB1,4008,1,7.92954654470419
PCNA,12757,2,7.48763239250787
MT1X,11305,2,6.27192883247189
DUT,10533,2,6.16053614509019
KIAA0101,10619,2,5.54426916424778
TK1,12382,2,5.13443917238601
DEK,4593,2,4.49215272001861
RANBP1,14210,2,4.43650681415011
STRA13,12450,2,4.10163649527739
MCM7,5669,2,4.03776874836137
SLBP,3338,2,3.7242472415137
KRT15,12010,3,18.5143190455799
KRT14,12013,3,17.548413503316
CXCL14,4247,3,15.0859459039903
KRT5,9173,3,13.8142372875633
S100A2,995,3,11.7413025126984
COL17A1,8758,3,9.69682106446761
DCN,9383,3,8.10461033509381
DST,4941,3,8.09587360787177
SYT8,7551,3,6.23483456926232
ASS1,7393,3,5.71614774814794
KRT13,12008,4,5.75323711865415
KRT6A,9172,4,5.4784287142688
LY6D,6857,4,4.82495678792144
S100A6,992,4,4.30829080116597
AQP3,7005,4,4.14862870185801
TXN,7233,4,3.24866296058761
KRT16,12014,4,2.98036922105068
HNRNPA1,9218,4,2.68811700783106
HSP90B1,9430,4,2.42380943477943
MT1G,11303,4,2.27858322907261
DEFB1,6433,5,3.62155267482642
CCND1,8000,5,2.71382898439415
FXYD3,13591,5,2.64181622883917
RPS18,4787,5,2.57290006745441
DSC3,12566,5,2.46126465638915
CLEC2B,8966,5,2.39727084509226
RPS19,13751,5,2.32397796181042
RPS8,496,5,2.30898464962173
RPL13,11545,5,2.0465848688854
IGF2,7556,5,2.03964303529644
KRTDAP,13598,6,15.8435085429041
CALML5,8315,6,13.947866740137
SPRR1B,984,6,13.8209363339709
SBSN,13600,6,13.1188004236812
KRT1,9175,6,12.0528496318675
CSTA,2982,6,11.6727854003473
TMEM45A,2911,6,10.9921951256063
KRT10,12000,6,10.9763416391576
DMKN,13599,6,9.84815040885754
LYPD3,13769,6,9.43137019124162
TYRP1,6957,7,26.656070623633
PMEL,9232,7,26.3521467251695
DCT,9822,7,25.6697571531788
MLANA,6950,7,24.0117914741027
IGFBP7,3514,7,23.9261741631182
VIM,8369,7,23.5808994812536
QPCT,1691,7,20.374954969043
SAT1,6025,7,19.2954183193566
CD63,9223,7,18.0161642445562
CAPN3,10479,7,16.2073904339178
